       차량 번호 : 0004
       기록 간격 : 10분

       상       호 :

      2024年07月23日
        20:27S  A:-20.7                                                                   

        20:23    A:-20.2                                                                   
        20:13    A:-19.0                                                                   
        20:03    A:-18.4                                                                   
        19:53    A:-18.4                                                                   
        19:43    A:-19.2                                                                   
        19:33    A:-20.4                                                                   
        19:23    A:-21.7                                                                   
        19:13    A:-22.7                                                                   
        19:03    A:-23.1                                                                   
        18:53    A:-22.8                                                                   
        18:43    A:-21.9                                                                   
        18:33    A:-20.6                                                                   
        18:23P  A:-19.3                                                                  
      USER STOP
