       차량 번호 : 0008
       기록 간격 : 10분

       상       호 :

      2024年07月23日
        	20:53S  A1:-20.7                                                                   

        	20:43    A1:-19.4                                                                   
        	20:33    A1:-18.5                                                                   
        	20:23    A1:-18.3                                                                   
        	20:13    A1:-18.8                                                                   
        	20:03    A1:-19.8                                                                   
        	19:53    A1:-21.2                                                                   
        	19:43    A1:-22.3                                                                   
        	19:33    A1:-23.0                                                                   
        	19:23    A1:-23.0                                                                   
        	19:13    A1:-22.3                                                                   
        	19:03    A1:-21.1                                                                   
        	18:53    A1:-19.8                                                                   
        	18:43P  A1:-18.8                                                                  
      USER STOP
