       차량 번호 : 0010
       기록 간격 : 10분

       상       호 :

      2024年07月23日
        							21:12S  A:-20.7                                                                   

        			21:10    A:-20.4                                                                   
        			21:00    A:-19.2                                                                   
        			20:50    A:-18.4                                                                   
        			20:40    A:-18.4                                                                   
        			20:30    A:-19.0                                                                   
        			20:20    A:-20.1                                                                   
        			20:10    A:-21.4                                                                   
        			20:00    A:-22.5                                                                   
        			19:50    A:-23.1                                                                   
        			19:40    A:-22.9                                                                   
        			19:30    A:-22.1                                                                   
        			19:20    A:-20.8                                                                   
        							19:10P  A:-19.6                                                                  
      USER STOP
