       차량 번호 : 1231
       기록 간격 : 10분

       상       호 :

      2024年07月23日
        17:46S    A:-20.7   
        17:45    A:-20.6   
        17:35    A:-19.3   
        17:25    A:-18.5   
        17:15    A:-18.3   
        17:05    A:-18.9   
        16:55    A:-20.0   
        16:45    A:-21.3   
        16:35    A:-22.4   
        16:25    A:-23.0   
        16:15    A:-23.0   
        16:05    A:-22.2   
        15:55    A:-21.0   
        15:45    A:-19.7   
        15:35    A:-18.7   
        15:25    A:-18.3   
        15:15    A:-18.6   
        15:05    A:-19.6   
        14:55    A:-20.9   
        14:45    A:-22.1   
        14:35P    A:-22.9   
      USER STOP
