       차량 번호 : 1238
       기록 간격 : 10분

       상       호 :

      2024年07月23日
        19:34S  A:-20.7
        19:25    A:-19.5  
        19:15    A:-18.6  
        19:05    A:-18.3  
        18:55    A:-18.7  
        18:45    A:-19.7  
        18:35    A:-21.0  
        18:25    A:-22.2  
        18:15    A:-23.0  
        18:05    A:-23.0  
        17:55    A:-22.4  
        17:45    A:-21.2  
        17:35    A:-19.9  
        17:25    A:-18.8  
        17:15    A:-18.3  
        17:05    A:-18.5  
        16:55    A:-19.4  
        16:45    A:-20.6  
        16:35    A:-21.9  
        16:25P  A:-22.8
      USER STOP
